Serial,Question,Option_ক,Option_খ,Option_গ,Option_ঘ,Answer,Explanation
১,"১. সংখ্যায় ব্যবহৃত কোনো x2+xy+y2 অঙ্ক তার অবস্থানের জন্য যে সংখ্যা প্রকাশ করে তাকে কী বলে? [ঢা.বো. ২০২১, কু.বো. ২০২৩] [জ্ঞানমূলক]",x2+xy+y2x2+xyy2x2+xy+y2x2+x,m2+my+y2m2+my+y2m2+my+y2m2,p2+pq+q2m2+my+y2m2+my+y2m2,ze+2z+5y-pem2+my+y2m2+my+y2,ক. x2+xy+y2x2+xyy2x2+xy+y2x2+x,বাংলা লেখা equation normal text equation নরমাল টেক্সট
২,২। সাত অঙ্কবিশিষ্ট কোন সংখ্যার ডান দিক থেকে ২য় অঙ্কের স্থানীয় মান বাম দিক থেকে ২য় অঙ্কের স্থানীয় মানের কতগুণ যদি অঙ্কদ্বয় একই হয়? [পাঠ ১.১: অঙ্কপাতন],১০০০০০ এবং সাধারণ লেখা ১০০০০০,১০০০০ এবং সাধারণ লেখা ১০০০০,১১০০০ এবং সাধারণ লেখা ১০০০০০,১১০০০০ এবং সাধারণ লেখা ১০০০০০,ঘ. ১১০০০০ এবং সাধারণ লেখা ১০০০০০,বাংলা লেখা equation normal text equation নরমাল টেক্সট
৩,৩. ৮৩০৫৬০৪০ সংখ্যাটিতে সার্থক অঙ্ক কয়টি? [পাঠ ১.১: অঙ্কপাতন],৪,৫,৬,৭,খ. ৫,বাংলা লেখা equation normal text equation নরমাল টেক্সট
৪,৪. ৩৪৫ সংখ্যাটিতে ৫ এর স্থানীয়মান ও স্বকীয় মানের পার্থক্য কত?,x2+xy+y2,m2+my+y2,p2+pq+q2,ze+2z+5y-pe,গ. p2+pq+q2,বাংলা লেখা equation normal text equation নরমাল টেক্সট
৫,৫. কোনো অঙ্কের স্থান পরিবর্তনের ফলে স্বকীয় মান কীরূপ হয়? [পাঠ ১.১: অঙ্কপাতন],পরিবর্তন হয়,বৃদ্ধি পায়,একই থাকে,হ্রাস পায়,গ. একই থাকে,বাংলা লেখা equation normal text equation নরমাল টেক্সট
৬,৬. x2+xy কতটি প্রতীক x2+xy ব্যবহার করা হয়?,২,৫,১০,১০০,গ. ১০,
১৫,১৫। ৬৪৪০৫৬৩১ সংখ্যাটির-অযুত স্থানীয় অঙ্কের equationeq স্থানীয় মান শূন্যবাম দিক হতে তৃতীয় অঙ্কের equationeqস্থানীয় মান ডান দিক হতে ৪র্থ অঙ্কের স্থানীয় equationeq মানের ৮০ গুণসংখ্যাটির অঙ্কগুলোতে ৬টি স্বাভাবিক equationeq সংখ্যা বিদ্যমাননিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক. i ও ii,
১৬,১৬. পাটিগণিতে দশটি প্রতীকের মধ্যে-স্বার্থক অঙ্ক নয়টিস্বাভাবিক সংখ্যা দশটিপ্রতীকগুলোকে অঙ্ক বলা হয়নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ. i ও iii,
৭,৭. পাটিগণিতে কয়টি প্রতীক দ্বারা সব সংখ্যাই প্রকাশ করা যায়?,৫,১০,৫০,১০০,খ. ১০,
৮,৮. ক্ষুদ্রতম দুই অঙ্কের ৩ দ্বারা বিভাজ্য জোড় সংখ্যা কোনটি?,২৪,১৮,১৫,১২,ঘ. ১২,
৯,"৯. ১, ২, ৩, ৪, ৫, ৬, ৭, ৮, ৯, ০ প্রতীকগুলোর মধ্যে স্বাভাবিক সংখ্যা কয়টি?",১,৪,৯,১০,গ. ৯,
১০,১০. কত অপেক্ষা বড় সব সংখ্যাই দুই বা ততোধিক অঙ্ক পাশাপাশি বসিয়ে লেখা হয়?,০,২,৫,৯,ঘ. ৯,
১১,১১. শূন্য থেকে বড় পূর্ণসংখ্যাগুলোকে কি বলে?,অমূলদ সংখ্যা,স্বাভাবিক সংখ্যা,জোড় সংখ্যা,বিজোড় সংখ্যা,স্বাভাবিক সংখ্যা,
১২,১২. ছয় অঙ্কের ক্ষুদ্রতম সংখ্যা চার অভেকর ক্ষুদ্রতম সংখ্যার কতগুণ?,১০০,১০০০,৬০০,৪০০,১০০,
১৩,১৩. দশমিক বা দশ গুণোত্তর রীতিতে কয়েকটি অঙ্ক পাশাপাশি বসিয়ে সংখ্যা লিখলে এর সর্বাপেক্ষা ডানদিকের অঙ্কটি কোন ধরনের মান প্রকাশ করে?,ঋণাত্মক মান,অস্বাভাবিক মান,স্বকীয় মান,শতগুণ,স্বকীয় মান,
১৪,১৪. কোন সংখ্যার ব্যবহৃত অঙ্কগুলির মান কিসের উপর নির্ভর করে?,অঙ্কপাতন,বিভাজ্য,বিভাজ্যতা,অবস্থান,ঘ. অবস্থান,
১৫,১৫. ৬৪৪০৫৬৩১ সংখ্যাটির-অযুত স্থানীয় অঙ্কের স্থানীয় মান শূন্যবাম দিক হতে তৃতীয় অঙ্কের স্থানীয় মান ডান দিক হতে ৪র্থ অঙ্কের স্থানীয় মানের ৮০ গুণসংখ্যাটির অঙ্কগুলোতে ৬টি স্বাভাবিক সংখ্যা বিদ্যমাননিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক. i ও ii,
১৬,১৬. পাটিগণিতে দশটি প্রতীকের মধ্যে-স্বার্থক অঙ্ক নয়টিস্বাভাবিক সংখ্যা দশটিপ্রতীকগুলোকে অঙ্ক বলা হয়নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ. i ও iii,
০,"০, ৫, ১, ৪, ৬, ৩ ও ৯ হলো সাতটি x2+2xy+y2 সংখ্যা প্রতীক।১৭. প্রথম ৫টি প্রতীক হতে সার্থক অঙ্কগুলো দ্বারা গঠিত ক্ষুদ্রতম সংখ্যার শতক স্থানের অঙ্কের স্থানীয় মান কত?",৫,৫০,৪০০,৫৪১,গ. ৪০০,
১৮,১৮. শেষ চারটি অভক নিয়ে গঠিত বৃহত্তম সংখ্যার হাজার স্থানের অঙ্কটির স্বকীয় মান কত?,৯০০০,৬০০০,৯,৬,গ. ৯,
১৯,১৯. পাঁচ অঙ্ক বিশিষ্ট একটি সংখ্যার অযুতের ঘরে ৮ ও হাজারের ঘরে ৫ এবং অবশিষ্ট অঙ্কগুলো শূন্য (০) থাকলে সংখ্যাটি কিভাবে পড়তে হবে?,পঁচাশি হাজার,ze+2z+5y-pe অখিল,পঁচাশি লক্ষ,আট হাজার পাঁচশ,ze+2z+5y-pe,
২০,২০. “ত্রিশ হাজার সত্তর” সংখ্যাটি কমা ব্যবহার করে অঙ্কে লিখলে কোনটি সঠিক হবে?,"৩,০৭০",ze+2z+5y-pe,"৩,০০,৭০","৩,০০,০৭০",খ. ze+2z+5y-pe,
২১,২১. এক কোটি অপেক্ষা বড় কিন্তু দশ কোটি অপেক্ষা ছোট একটি স্বাভাবিক সংখ্যা লিখতে মোট কয়টি অঙ্ক লাগবে?,৯,ze+2z+5y-pe,৭,৬,ze+2z+5y-pe,
২২,"২২. ৪, ৮, ১, ২, ৫, ৭, ৯ অঙ্কগুলো মাত্র একবার ব্যবহার করে সাত অঙ্কের ক্ষুদ্রতম সংখ্যা নিচের কোনটি?",৯৮৭৫৪২১,৮৫৯১২৪৫,১২৪৫৭৮৯,১২৪৫৭৯৮,গ. ১২৪৫৭৮৯,
২৩,২৩. ৭৩৪৫৫ সংখ্যাটির অঙ্কগুলোকে বিপরীতভাবে সাজিয়ে কথায় প্রকাশ করলে নিচের কোনটি সঠিক?,পঞ্চান্ন হাজার তিনশ সাঁইত্রিশ,পঞ্চান্ন হাজার চারশ সাঁইত্রিশ,পঞ্চান্ন হাজার সাতশ তেতাল্লিশ,পঞ্চান্ন হাজার তিনশ সাতচল্লিশ,খ. পঞ্চান্ন হাজার চারশ সাঁইত্রিশ,
২৪,২৪. নিচের কোনটি সাত অঙ্কের ক্ষুদ্রতম সংখ্যা?,১০০০০০০,১১১১১১১,১২৩৪৫৬৭,৯৯৯৯৯৯৯,ক. ১০০০০০০,
২৫,২৫. নিচের কোনটি পাঁচ অঙ্কের বৃহত্তম সংখ্যা?,১১১১১,৯০০০০,৯৮৭৬৫,৯৯৯৯৯,ঘ. ৯৯৯৯৯,
২৬,"২৬. ১, ০, ৫, ৯, ৬, ৭ অঙ্কগুলো মাত্র একবার ব্যবহার করে ছয় অঙ্কের বৃহত্তম সংখ্যা নিচের কোনটি?",১০৯৭৫৬,৯৭৬৫১০,৯০৭৬৫১,৯৭৬৫১,খ. ৯৭৬৫১০,
২৭,২৭. মৌলিক অঙ্কসমূহ এবং সহকারী অঙ্ক নিয়ে গঠিত পাঁচ অঙ্কের ক্ষুদ্রতম সংখ্যাটির কথায় প্রকাশ নিচের কোনটি? (প্রত্যেক অঙ্ক একবার ব্যবহার করতে হবে),বিশ হাজার তিনশ সাতান্ন,তেইশ হাজার পাঁচশ সত্তর,বিশ হাজার দুইশ পঁয়ত্রিশ,পঁচিশ হাজার দুইশ তিয়াত্তর,ক. বিশ হাজার তিনশ সাতান্ন,
২৮,"২৮. ১০,৪৫,৬৭৮ সংখ্যাটির কমা ব্যবহারে কোন রীতি অনুসরণ করা হয়েছে?",দেশীয়,বিদেশী,গ্রিক,ল্যাটিন,ক. দেশীয়,
২৯,২৯. নিচের কোনটি পাঁচ অঙ্কের ক্ষুদ্রতম সংখ্যার আগের সংখ্যা?,৯৯৯৯৯,৯৯৯৯,৯৯৯,৯৯,খ. ৯৯৯৯,
৩০,৩০. পরপর যেকোনো অঙ্কের ক্ষুদ্রতম সংখ্যাদ্বয়ের পার্থক্য ঐ দুই সংখ্যার অন্তর্গত ক্ষুদ্রতম সংখ্যার কতগুণ?,৯০০০,৯০০,৯০,৯,ঘ. ৯,
৩১,"৩১. দেশীয় সংখ্যাপঠন রীতিতে-অযুত ও হাজারের ঘর মিলিয়ে যত হাজার হয়, তত হাজার পড়া হয়নিযুত ও লক্ষের ঘর মিলিয়ে যত লক্ষ হয়, তত লক্ষ হিসেবে পড়া হয়হাজারের ঘরে সর্বোচ্চ দুইটি অঙ্ক লেখা যায়নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii","ঘ. i, ii ও iii",
৩২,৩২. একটি অঙ্ক মাত্র একবার ব্যবহার করে সাত অঙ্কের বৃহত্তম সংখ্যা নিচের কোনটি?,"৯৮,৭৫,৪৩০","৮৯,৭৫,৪৩০","৩৪,৫৭,৮৯০","৩০,৪৫,৭৮৯","ক. ৯৮,৭৫,৪৩০",
৩৩,৩৩. একটি অঙ্ক মাত্র একবার ব্যবহার করে সাত অঙ্কের ক্ষুদ্রতম সংখ্যা নিচের কোনটি?,"৯৮,৭৫,৪৩০","৯০,৮৭,৫৪৩","৩৪,৫৭,৮৯০","৩০,৪৫,৭৮৯","ঘ. ৩০,৪৫,৭৮৯",
৩৪,৩৪. ১০০০০০০ সংখ্যাটি আন্তর্জাতিক রীতিতে কত?,দশ লক্ষ,১ মিলিয়ন,১ নিযুত,০.১ কোটি,খ. ১ মিলিয়ন,
৩৫,৩৫. আন্তর্জাতিক রীতিতে ডান দিক থেকে কত অঙ্ক পর প্রথম কমা বসাতে হয়?,এক অঙ্ক,দুই অঙ্ক,তিন অঙ্ক,চার অঙ্ক,গ. তিন অঙ্ক,
৩৬,৩৬. ছকে লিখিত সংখ্যাটি আন্তর্জাতিক পদ্ধতিতে পড়লে কী হবে?,একশ এগারো হাজার,এক মিলিয়ন এগারো হাজার,এগারো শ এগারো হাজার,এগারো মিলিয়ন এগারো হাজার,ক. একশ এগারো হাজার,
৩৭,৩৭. কমা ব্যবহার করে ৯০০০০০ সংখ্যাটির আন্তর্জাতিক গণনার সঠিক রূপ কোনটি?,"৯,০০০০০","৯০,০০০০","৯০০,০০০","৯,০০,০০০","গ. ৯০০,০০০",
৩৮,"৩৮. আন্তর্জাতিক গণনা পদ্ধতি অনুযায়ী বিলিয়ন, মিলিয়ন ও হাজারের ঘরে সর্বোচ্চ কত অঙ্ক বিশিষ্ট সংখ্যা লেখা যায়?",এক,দুই,তিন,চার,গ. তিন,
৩৯,৩৯. আন্তর্জাতিক রীতিতে-১ মিলিয়ন = ১০ লক্ষ,i ও ii,i ও iii,ii ও iii,"i, ii ও iii","ঘ. i, ii ও iii",
১,"১,০০,০০০; ২০৪,০০০,০০০,০০০৪০. দ্বিতীয় সংখ্যাটি কথায় প্রকাশ করলে হবে?",২০৪ মিলিয়ন,বিশ হাজার মিলিয়ন,২ বিলিয়ন চল্লিশ মিলিয়ন,দুইশ চার বিলিয়ন,ঘ. দুইশ চার বিলিয়ন,
৪১,৪১. দেশীয় পদ্ধতিতে প্রথম সংখ্যাটির লিখিত রূপ কোনটি?,দশ লক্ষ,এক লক্ষ,একশত হাজার,১ কোটি,খ. এক লক্ষ,
৪২,৪২. ১০০ কোটিতে কত বিলিয়ন?,১০০ বিলিয়ন,১০ বিলিয়ন,৫ বিলিয়ন,১ বিলিয়ন,ঘ. ১ বিলিয়ন,
৪৩,৪৩. ৫ বিলিয়ন = কত কোটি?,৫ কোটি,৫০ কোটি,৫০০ কোটি,৫০০০ কোটি,গ. ৫০০ কোটি,
৪৪,৪৪. ৭ মিলিয়নে কত লক্ষ?,১০,৭০,১০০,৫০০,খ. ৭০,
৪৫,৪৫. ৬ বিলিয়ন = কত মিলিয়ন?,৬০,৬০০,৬০০০,৬০০০০,গ. ৬০০০,
৪৬,"৪৬. ১৫৬৭০০২৫৬১৯৮২ সংখ্যাটি- দেশীয় রীতিতে এক লক্ষ ছাপ্পান্ন হাজার সাতশ কোটি পঁচিশ লক্ষ একষট্টি হাজার নয়শ বিরাশিআন্তর্জাতিক রীতিতে এক ট্রিলিয়ন পাঁচশ সাতষট্টি বিলিয়ন দুই মিলিয়ন পাঁচশ একষট্টি হাজার নয়শ বিরাশিআন্তর্জাতিক রীতিতে কমা বসালে রূপান্তরিত রূপ১, ৫৬৭, ০০২, ৫৬, ১৯, ৯৮২নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক. i ও ii,
৫০০০০০০,"৫০০০০০০, ১০০ কোটি ও ১০ লক্ষ৪৭. প্রথম সংখ্যাটি কত মিলিয়নের সমান?",৫,৫০,৫০০,৫০০০,ক. ৫,
৪৮,৪৮. দ্বিতীয় সংখ্যাটি কত বিলিয়নের সমান?,১০০,২০,১০,১,ঘ. ১,
৪৯,৪৯. কমা ব্যবহার করে তৃতীয় সংখ্যাটির আন্তর্জাতিক সঠিক রূপ কোনটি?,"১০,০০০,০০","১,০০০,০০০","১০০০,০০০","১০,০০,০০,০","খ. ১,০০০,০০০",
৫০,৫০. সহকারী অঙ্ক কোনটি?,০,১,২,৩,ক. ০,
৫১,৫১. ৬২৩৬০৫ সংখ্যাটির ৬ এর স্থানীয় মানদ্বয়ের পার্থক্য কত?,৬৯৯৪০০,৫৯৯৪০০,৬৯৯৪০,৫৯৯৪০,খ. ৫৯৯৪০০,
৫২,৫২. ১৩৬৭০৫২ সংখ্যাটি দেশীয় রীতিতে কমা বসিয়ে লিখলে কি হবে?,"১, ৩৬৭, ০৫২","১৩,৬৭০,৫২","১৩,৬৭,০৫২","১৩,৬৭,০৫,২","গ. ১৩,৬৭,০৫২",
৫৩,৫৩. তিন বিলিয়ন বারো মিলিয়ন তিনশ সাঁইত্রিশ হাজার নয়শ সাতাত্তরকে অঙ্কে প্রকাশ করলে কি হবে?,৩০১২৩৩৭৯৭৭,৩১২৩৩৭৯৭৭,৩০১২৩৭৯৭৭,৩১২৩৭৯৭৭,ক. ৩০১২৩৩৭৯৭৭,
৫৪,৫৪. দেশীয় ও আন্তর্জাতিক এককের সম্পর্ক অনুসারে-৫ মিলিয়ন ১০০ হাজার ৫১ লক্ষ২০০ কোটি ১০ লক্ষ ২ বিলিয়ন ১ মিলিয়ন১৩২ মিলিয়ন ২০০ হাজার ১ কোটি ৩২ লক্ষ ২০ হাজার নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক. i ও ii,
৫৫,৫৫. নিচের কোন সংখ্যাটি ৬ অঙ্কের বৃহত্তম সংখ্যা হতে ১ বেশি?,১০০০০,১০০০০০,১০০০০০০,১০০০০০০০,গ. ১০০০০০০,
৫৬,৫৬. একটি ছয় অঙ্কবিশিষ্ট সংখ্যার অযুত ও লক্ষের ঘরে যথাক্রমে ৫ ও ৮ এবং বাকি অঙ্কগুলো শূন্য হলে আন্তর্জাতিক রীতিতে সংখ্যাটি কিভাবে পড়তে হবে?,আটশ পঞ্চাশ হাজার,আট লক্ষ পঞ্চাশ হাজার,পঁচাশি লক্ষ,আট মিলিয়ন পাঁচশ হাজার,ক. আটশ পঞ্চাশ হাজার,
৫,"৫, ০, ২, ৮, ৯, ৬ অঙ্কগুলো একবার ব্যবহার করে ছয় অঙ্কের কতগুলো সংখ্যা গঠন করা হলো৫৭. গঠিত সংখ্যাগুলোর মধ্যে ক্ষুদ্রতম সংখ্যা কোনটি?",২০৫৬৮৯,২০৫৬৯৮,২০৫৮৬৯,২০৬৫৮৯,ক. ২০৫৬৮৯,
৫৮,৫৮. গঠিত সংখ্যাগুলোর মধ্যে ৫ দিয়ে শুরু বৃহত্তম সংখ্যা কোনটি?,৫০৮৯৬২,৫৮৯৬২০,৫৯৮৫৬০,৫৯৮৬২০,ঘ. ৫৯৮৬২০,
৫৯,"৫৯. ৮, ১, ৬, ৫, ০, ৭ অঙ্কগুলো-দ্বারা গঠিত ছয় অঙ্কের ক্ষুদ্রতম সংখ্যা ১০৫৬৭৮এর মধ্যে ছয়টি সার্থক অঙ্ক বিদ্যমানএর মধ্যে পাঁচটি স্বাভাবিক সংখ্যা বিদ্যমাননিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ. i ও iii,
৬০,৬০. ৫০০০ অপেক্ষা বড় কিন্তু ৫০০০০ অপেক্ষা ছোট সংখ্যাগুলোর মধ্যে-চার অঙ্ক বিশিষ্ট বৃহত্তম সংখ্যা ৯৯৯৯ পাঁচ অঙ্ক বিশিষ্ট বৃহত্তম সংখ্যা ৪৯৯৯৯চার অঙ্ক বিশিষ্ট ক্ষুদ্রতম সংখ্যা ৫০০০নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক. i ও ii,
৬১,৬১. কোম্পানির আয়কে দেশীয় রীতিতে প্রকাশ করলে কি হবে?,২১৩৩ কোটি ৬৩ লক্ষ ৫৭ হাজার ৯৮২,২১৩৩ কোটি ৩ লক্ষ ৫৭ হাজার ৯৮২,২১৩ কোটি ৩৬ লক্ষ ৫৭ হাজার ৯৮২,২১৩ কোটি ৩ লক্ষ ৫৭ হাজার ৯৮২,ক. ২১৩৩ কোটি ৬৩ লক্ষ ৫৭ হাজার ৯৮২,
৬২,৬২. আন্তর্জাতিক রীতিতে কোম্পানির আয় কিভাবে পড়তে হবে?,২ বিলিয়ন ৩৩৬ কোটি ৩৫৭ হাজার ৯৮২,২ বিলিয়ন ১৩৩৬ মিলিয়ন ৩৫৭ হাজার ৯৮২,২১ বিলিয়ন ৩৩৬ মিলিয়ন ৩৫৭ হাজার ৯৮২,২১ বিলিয়ন ৩৩৬৩ মিলিয়ন ৫৭ হাজার ৯৮২,গ. ২১ বিলিয়ন ৩৩৬ মিলিয়ন ৩৫৭ হাজার ৯৮২,
৬৩,৬৩. দশ লক্ষ অপেক্ষা বড় কিন্তু এক কোটি অপেক্ষা ছোট কোন সংখ্যায় সর্বনিম্ন কয়টি স্বাভাবিক অঙ্ক থাকতে পারে?,১,২,৩,৪,ক. ১,
৬৪,৬৪. ২ কোটিতে কত লক্ষ?,২০,৫০,১০০,২০০,ঘ. ২০০,
১,১. একমাত্র জোড় মৌলিক সংখ্যা নিচের কোনটি?,২,৩,৫,৭,ক. ২,
২,২. ৭০ থেকে ৮০ পর্যন্ত মৌলিক সংখ্যা কয়টি?,১,২,৩,৪,গ. ৩,
৩,৩. সবচেয়ে ছোট বিজোড় মৌলিক সংখ্যা নিচের কোনটি?,১,২,৩,৫,গ. ৩,
৪,৪. ১০ থেকে ২০ পর্যন্ত মৌলিক সংখ্যা কয়টি?,৩টি,৪টি,৫টি,৬টি,খ. ৪টি,
৫,৫. নিচের কোনটি মৌলিক সংখ্যা নয়?,১৯,২৯,৩৭,৪৯,ঘ. ৪৯,
৬,৬. গুণনীয়ককে কী বলা হয়?,গুণফল,গুণ্য,গুণক,উৎপাদক,ঘ. উৎপাদক,
৭,৭. মৌলিক সংখ্যার গুণনীয়ক কয়টি?,১,২,৩,৪,খ. ২,
৮,৮. ২৫ এর গুণনীয়কগুলোর যোগফল কত?,৭,২৫,৩১,৭৩,গ. ৩১,
৯,৯. ৩৫ এর গুণনীয়ক কয়টি?,১,২,৩,৪,ঘ. ৪,
১০,১০. ৬০ থেকে ১০০ এর মধ্যে কয়টি মৌলিক সংখ্যা আছে?,৬,৮,১০,১২,খ. ৮,
১১,১১. ৬৩ এর মৌলিক উৎপাদক কয়টি?,৪,৩,২,১,গ. ২,
১২,১২. নিচের কোনটি যৌগিক সংখ্যা?,৪১,৪৭,৫৯,৬৩,ঘ. ৬৩,
১৩,১৩. দুই অঙ্ক বিশিষ্ট বৃহত্তম মৌলিক সংখ্যা কোনটি?,১১,৯৭,৯৮,৯৯,খ. ৯৭,
১৪,১৪. মৌলিক সংখ্যা-১ হতে বৃহত্তরপ্রথমটি জোড় ব্যতীত সকল সংখ্যা যৌগিক সংখ্যানিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক. i ও ii,
১৫,১৫. মৌলিক ও যৌগিক সংখ্যার ক্ষেত্রে- ১ একটি মৌলিক সংখ্যাপ্রথম যৌগিক সংখ্যাটি হলো ৪প্রথম মৌলিক ও যৌগিক সংখ্যার পার্থক্য ২নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ. ii ও iii,
১৬,১৬. ৩৫ এর মৌলিক গুণনীয়কগুলোর সমষ্টি কত?,৫,৭,১২,১৩,গ. ১২,
১৭,১৭. ৩০ থেকে ৫০ এর মধ্যে অবস্থিত বৃহত্তম ও ক্ষুদ্রতম মৌলিক সংখ্যাদ্বয়ের পার্থক্য কত?,১৫,১৬,১৭,১৮,খ. ১৬,
১৮,১৮. দুই বা ততোধিক সংখ্যার সাধারণ গুণনীয়ক কত হলে সংখ্যাগুলো পরস্পর সহমৌলিক হয়?,১,৫,৭,৮,ক. ১,
১৯,১৯. কোন জোড়াটি সহমৌলিক?,"২৫, ৩৫","৮, ৫৬","৩৮, ৬৮","২১, ২৫","ঘ. ২১, ২৫",
২০,২০. নিচের জোড়া সংখ্যাগুলোর কোনগুলো সহমৌলিক নয়?,"১২, ১৫","১৯, ২০","২৩, ২৭","২৯, ৩১","ক. ১২, ১৫",
২১,২১. ৩০ এর মোট গুণনীয়ক কতটি?,৬,৭,৮,৯,গ. ৮,
২২,২২. উদ্দীপকের আলোকে- ২৩ সংখ্যাটি মৌলিক নয়।২৩ ও ৩০ সহমৌলিক।৩০ ও ৪৮ সহমৌলিক নয়।নিচের কোনটি সঠিক?,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",খ. ii ও iii,
২৩,"২৩. কোনো সংখ্যার একক স্থানীয় অঙ্ক ০ বা ৫ হলে, সংখ্যাটি কত দ্বারা বিভাজ্য হবে?",২,৩,৫,৯,গ. ৫,
২৪,২৪. নিচের কোন সংখ্যাটি ৪ ও ৫ দ্বারা বিভাজ্য?,২৫৫,৫৩০,৬৬৪,৯০০,ঘ. ৯০০,
২৫,২৫. কোন সংখ্যাটি ৯ দ্বারা বিভাজ্য?,১২৩,১২৬,১২৯,৩২৯,খ. ১২৬,
২৬,২৬. যেকোনো সংখ্যাকে ২ দ্বারা গুণ করলে গুণফলের একক স্থানীয় অঙ্কটি কত হবে?,২ বা ৫,"০, ২, ৪ বা ৯","০, ২, ৪, ৬ বা ৮","০, ২, ৪, ৮ বা ৯","গ. ০, ২, ৪, ৬ বা ৮",
২৭,২৭. একটি সংখ্যার শেষ অঙ্ক দুটি শূন্য হলে সেটি কত দ্বারা বিভাজ্য হবে না?,২ ও ৫,২ ও ৪,৪ ও ৫,৪ ও ৬,ঘ. ৪ ও ৬,
২৮,২৮. ৩৫৭     ২ সংখ্যাটির     চিহ্নিত স্থানে কোন অঙ্ক বসলে তা ৬ দ্বারা বিভাজ্য হবে?,০,১,২,৩,খ. ১,
