Serial,Question,Option_ক,Option_খ,Option_গ,Option_ঘ,Answer,Explanation
২৯,২৯. কোনো সংখ্যা ৩ ও ৪ দ্বারা বিভাজ্য হলে নিচের কোনটি দ্বারা নিঃশেষ বিভাজ্য হবে?,৭,৮,৯,১২,ঘ. ১২,
৩০,৩০. নিচের কোন সংখ্যাটি ৯ দ্বারা বিভাজ্য নয়?,৯৬৩,৮৭৩,৭১১,৫১৪,ঘ. ৫১৪,
৩১,৩১. ৩৫৬ সংখ্যাটি নিচের কোনটি দ্বারা বিভাজ্য?,৩,৪,৬,৯,খ. ৪,
৩২,৩২. নিচের কোন সংখ্যাটি ৩ দ্বারা নিঃশেষে বিভাজ্য?,২৭৩,২৯৫,৩১৭,৩২৫,ক. ২৭৩,
৩৩,৩৩. কোনো সংখ্যা ২ এবং ৩ দ্বারা বিভাজ্য হলে সংখ্যাটি কত দ্বারা নিঃশেষে বিভাজ্য?,৫,৬,৭,৮,খ. ৬,
৩৪,৩৪. নিচের কোন সংখ্যাটি ২ ও ৩ দ্বারা বিভাজ্য?,২১৮৪,৫২৭৩,৭৮৩২,৮৫৪২,ক. ২১৮৪,
৩৫,৩৫. ২৩৫২ সংখ্যাটি নিচের কোন সংখ্যাটি দ্বারা অবিভাজ্য?,২,৪,৬,৯,ঘ. ৯,
৩৬,৩৬. দুই অঙ্কের বৃহত্তম ও ক্ষুদ্রতম মৌলিক সংখ্যাদ্বয়ের বিয়োগফল সর্বদাই কত দ্বারা বিভাজ্য?,২,৪,৬,৯,ক. ২,
৩৭,৩৭. ১৫২৪৬ সংখ্যাটি-৩ দ্বারা বিভাজ্য৬ দ্বারা বিভাজ্য৯ দ্বারা বিভাজ্যনিচের কোনটি সঠিক?,i ও ii,ii ও iii,i ও iii,"i, ii ও iii","ঘ. i, ii ও iii",
৩৮,"৩৮. কোনো সংখ্যার –একক স্থানীয় অঙ্কটি শূন্য (০) অথবা জোড় সংখ্যা হলে, প্রদত্ত সংখ্যাটি ২ দ্বারা বিভাজ্য হবে।একক ও দশক স্থানের অঙ্ক দুইটি দ্বারা গঠিত সংখ্যা ৪ দ্বারা বিভাজ্য হলে, ঐ সংখ্যাটি ৪ দ্বারা বিভাজ্য হবে। একক ও দশক উভয় স্থানের অঙ্ক ০ হলে, সংখ্যাটি ৪ দ্বারা বিভাজ্য হবে। নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii","ঘ. i, ii ও iii",
৩৯,৩৯. ৬০০ সংখ্যাটি –২ দ্বারা বিভাজ্য৪ দ্বারা বিভাজ্য৫ দ্বারা বিভাজ্যনিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii","ঘ. i, ii ও iii",
৪০,৪০. ৬০২৪ সংখ্যাটি-২ দ্বারা বিভাজ্য৩ দ্বারা বিভাজ্য ৪ দ্বারা বিভাজ্যনিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii","ঘ. i, ii ও iii",
৪১,৪১. ১২৫     ৮-এর      চিহ্নিত স্থানে ২ বসালে –৩ দ্বারা বিভাজ্য হবে৪ দ্বারা বিভাজ্য হবে৯ দ্বারা বিভাজ্য হবে নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii","ঘ. i, ii ও iii",
৪২,৪২. একটি সংখ্যার একক স্থানীয় অঙ্ক শূন্য হলে-সংখ্যাটি ৪ দ্বারা বিভাজ্য।সংখ্যাটি ৫ দ্বারা বিভাজ্য।সংখ্যাটি ১০ দ্বারা বিভাজ্য।নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ. ii ও iii,
৫,"৫, ৭, ০, ৮, ১ হলো পাঁচটি অঙ্ক।৪৩. অঙ্কগুলি দ্বারা গঠিত পাঁচ অঙ্কের ক্ষুদ্রতম সংখ্যা কোনটি?",৫১৭৮,১০৫৭৮,৫১৭৮০,৮৭১৫০,খ. ১০৫৭৮,
৪৪,৪৪. গঠিত ক্ষুদ্রতম সংখ্যাটি নিচের কোন সংখ্যা দ্বারা অবিভাজ্য?,২,৩,৬,৯,ঘ. ৯,
৪৫,৪৫.       চিহ্নিত স্থানে ৪ হলে নিচের কোন সংখ্যাটি দ্বারা বিভাজ্য হবে?,৩,৪,৬,৯,খ. ৪,
৪৬,৪৬.     চিহ্নিত স্থানে-২ হলে সংখ্যাটি ৩ দ্বারা বিভাজ্য৮ হলে সংখ্যাটি ৬ দ্বারা বিভাজ্য৬ হলে সংখ্যাটি ৪ দ্বারা বিভাজ্যনিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক. i ও ii,
৪৭,৪৭. ২০ থেকে ৪০ এর মধ্যে মৌলিক সংখ্যা কতটি?,৪,৫,৬,৭,ক. ৪,
৪৮,৪৮. নিচের কোন জোড়া সহমৌলিক?,"১৫, ৩০","৪, ৫০","৩১, ৯৩","৪, ৯","ঘ. ৪, ৯",
৪৯,৪৯. নিচের কোন সংখ্যাটি ৩ দ্বারা বিভাজ্য?,১৭৩,২১৮,২৮৩,৭৬২,ঘ. ৭৬২,
৫০,৫০. পাঁচ অঙ্কের বৃহত্তম সংখ্যা-৩ দ্বারা বিভাজ্য৬ দ্বারা বিভাজ্য৯ দ্বারা বিভাজ্যনিচের কোনটি সঠিক?,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",গ. i ও iii,
৫১,৫১. ৮ এর গুণনীয়কগুলোর গুণফল কত?,৮,১৬,৩২,৬৪,ঘ. ৬৪,
৫২,৫২. নিচের কোন সংখ্যাটি ৯ দ্বারা বিভাজ্য?,৯৮৭৩,৯৬৭৮,৭৩৫৯,৬৭৩৯,ক. ৯৮৭৩,
৫৩,৫৩. দুইটি সংখ্যার বৃহত্তম গুণনীয়কদ্বয়ের পার্থক্য-,সংখ্যাদ্বয়ের যোগফলের সমান,সংখ্যাদ্বয়ের পার্থক্যের সমান,সংখ্যাদ্বয়ের গুণফলের সমান,শূন্য (০),খ. সংখ্যাদ্বয়ের পার্থক্যের সমান,
৫৪,৫৪. ৩৮৭৫৪ সংখ্যাটি বিভাজ্য-২ দ্বারা৩ দ্বারা৬ দ্বারানিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii","ঘ. i, ii ও iii",
৬,"৬, ৫, ০, ৭, ৮ হলো পাঁচটি অঙ্ক।৫৫. অঙ্কগুলি দ্বারা গঠিত ক্ষুদ্রতম সংখ্যা কোনটি?",৫৬৭৮,৫০৬৭৮,৫৬৭৮০,৮৭৬৫০,খ. ৫০৬৭৮,
৫৬,৫৬. গঠিত ক্ষুদ্রতম সংখ্যাটি নিচের কোন সংখ্যা দ্বারা বিভাজ্য?,২,৩,৬,৯,ক. ২,
৫৭,৫৭. ১২ এর গুণনীয়কগুলোর সমষ্টি কত?,২৮,২৭,২৪,১৬,ক. ২৮,
৫৮,৫৮. ১০০ থেকে ১১০ পর্যন্ত মৌলিক সংখ্যা কতটি?,২,৩,৪,৫,গ. ৪,
৫৯,৫৯. ৭৫২৪      এর      চিহ্নিত স্থানে কত বসালে ৯ দ্বারা বিভাজ্য হবে?,০,২,৩,৫,ক. ০,
৬০,৬০. ১০৫ এর মৌলিক উৎপাদক কতটি?,১,২,৩,৪,গ. ৩,
৬১,৬১. ৯ দ্বারা বিভাজ্য কোনো সংখ্যা অবশ্যই- দ্বারা নিঃশেষে বিভাজ্য হবে?,২,৩,৫,৬,খ. ৩,
১,১. কোন বৃহত্তম সংখ্যা দ্বারা ১০০ ও ১৮৪ কে ভাগ করলে প্রত্যেকবার ভাগশেষ ৪ থাকবে?,৫,৬,৮,১৬,খ. ৬,
২,"২. ২, ৪, ৬, ৮ এর গ.সা.গু. কত?",৪,২,৬,১,খ. ২,
৩,"৩. ২৫, ৩৫ ও ৮৫ সংখ্যাসমূহের গ.সা.গু. কত?",৪,৮,৫,১৫,গ. ৫,
৪,৪. ৭ ও ২১ এর গ.সা.গু. কত?,১,৩,৭,২১,গ. ৭,
৫,"৫. ২৮, ৪৮, ৭২ ও ৯৬ এর গ.সা.গু. কত?",৪,৮,৬,২,ক. ৪,
৬,"৬. ৪২, ৪৮ ও ৫৬-এর গ.সা.গু. কত?",২,৪,১৬,৪২,ক. ২,
৭,"৭. ৩, ১২, ১৫, ২১ এর সাধারণ গুণনীয়ক কোনটি?",২,৪,৩,৫,গ. ৩,
৮,৮. দুইটি সংখ্যার গুণফল ১০৮। একটি সংখ্যা ১২ হলে সংখ্যা দুটির গ.সা.গু. কত?,১,২,৩,৯,গ. ৩,
৯,৯. গ.সা.গু. এর পূর্ণরূপ কী?,লঘিষ্ঠ সাধারণ গুণিতক,গরিষ্ঠ সাধারণ গুণনীয়ক,গরিষ্ঠ সাধারণ গুণিতক,লঘিষ্ঠ সাধারণ গুণনীয়ক,খ. গরিষ্ঠ সাধারণ গুণনীয়ক,
১০,"১০. দুই বা ততোধিক সংখ্যার সাধারণ গুণনীয়ক যদি ১ হয়, তবে সংখ্যাদ্বয় পরস্পর কীরূপ?",জোড় সংখ্যা,বিজোড় সংখ্যা,ভগ্নাংশ সংখ্যা,সহমৌলিক সংখ্যা,ঘ. সহমৌলিক সংখ্যা,
১১,"১১. ১২, ৩০ এর গরিষ্ঠ সাধারণ গুণনীয়ক কোনটি?",২,৩,৬,১২,গ. ৬,
১২,১২. দুইটি সংখ্যার সাধারণ মৌলিক গুণনীয়ক না থাকলে তাদের গ.সা.গু. কত?,০,১,২,৩,খ. ১,
১৩,"১৩. ১২, ১৮ এবং ৪৮ এর গ.সা.গু কত?",৩,৬,৮,১২,খ. ৬,
১৪,"১৪. ৮ , ১৫, ২১ এর গ.সা.গু. নিচের কোনটি?",১,৩,৫,কোনটিই নয়,ক. ১,
১৫,১৫. নিচের কোন দুইটি সংখ্যার গ.সা.গু. ১৩?,"১৮২, ১৯৪","৩২৩, ৪৩৭","১১৭, ২২১","১৬৯, ১৯৬","গ. ১১৭, ২২১",
১৬,১৬. কোন বৃহত্তম সংখ্যা দ্বারী ৩৬৫ ও ৪৬৩ কে ভাগ করলে ভাগশেষ যথাক্রমে ৫ ও ৭ থাকে?,৪২,২৮,২৪,৩৫,গ. ২৪,
১৭,১৭. ১০০৮ ও ৯৯৮ এর সাধারণ মৌলিক গুণণীয়ক কত?,২,৩,৪,৭,ক. ২,
১৮,১৮. ১৮ এর কয়টি গুণনীয়ক আছে?,৩,৪,৫,৬,ঘ. ৬,
১৯,১৯. নিচের কোন সংখ্যা দ্বারা ১৮ এবং ৩৩ কে ভাগ করলে প্রতিক্ষেত্রে ৩ অবশিষ্ট থাকে?,২,৩,৫,২০,গ. ৫,
২০,"২০. ভিন্ন আকৃতির তিনটি ড্রামে যথাক্রমে ১২, ১৫ ও ২১ লিটার পানি ধরে, সর্বাধিক কত লিটারের জগ দ্বারা পাত্র তিনটি পূরণ করা যাবে?",২,৩,৪,৮,খ. ৩,
২১,২১. একটি লোহার পাত ও তামার পাতের দৈর্ঘ্য যথাক্রমে ১২৬ সে.মি. এবং ১৬২ সে.মি.। পাত দুইটি থেকে কেটে নেওয়া একই মাপের সবচেয়ে বড় টুকরাটি কত দৈর্ঘ্যের?,৭,৮,৯,১৮,ঘ. ১৮,
২২,২২. ৬৪ এর মৌলিক গুণনীয়কে কয় জোড়া ২ বিদ্যমান?,১,২,৩,৪,গ. ৩,
২৩,"২৩. কোন বৃহত্তম সংখ্যা দ্বারা ৬৩, ১৪৭ ও ২৩১ কে ভাগ করলে কোনো ভাগশেষ থাকবে না?",৭,১৪,২১,২৮,গ. ২১,
২৪,২৪. একটি বৃহত্তম সংখ্যা 'ক' দ্বারা ১১০ ও ১৯৪ কে ভাগ করলে যদি প্রত্যেকবার ভাগশেষ ২ থাকে তবে-‘ক’ হবে ১০৮ ও ১৯০ এর ল.সা.গু. ‘ক’ হবে ১০৮ ও ১৯২ এর গ.সা.গু.‘ক’ = ১২নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ. ii ও iii,
২৫,"২৫. ৪৮ ও ৭২ এর-মৌলিক গুণনীয়কগুলো যথাক্রমে ২, ২, ২, ২, ৩ এবং ২, ২, ২, ৩, ৩সাধারণ মৌলিক গুণনীয়কগুলো হলো ২, ২, ২.৩",i ও ii,i ও iii,ii ও iii,"i, ii ও iii","ঘ. i, ii ও iii",
২৬,২৬. ৬ ও ৯ এর-,i ও ii,i ও iii,ii ও iii,"i, ii ও iii","ঘ. i, ii ও iii",
২৭,২৭. সবচেয়ে বেশি কয়জন ছাত্রের মধ্যে ঐ ফলগুলো সমানভাবে ভাগ করে দেওয়া যাবে?,০,১,২,৩,ঘ. ৩,
২৮,২৮. প্রত্যেক ছাত্র কয়টি লিচু পাবে?,১টি,২টি,৪টি,৫টি,গ. ৪টি,
৫২৫,"৫২৫, ৪৯৫ ও ৫৭০ তিনটি সংখ্যা।২৯. তৃতীয় সংখ্যাটির মৌলিক উৎপাদক কয়টি?",৩,৪,৫,৬,খ. ৪,
৩০,৩০. দ্বিতীয় সংখ্যাটির সর্বোচ্চ মৌলিক উৎপাদক কোনটি?,৩,৫,১১,১৯,গ. ১১,
৩১,৩১. সংখ্যা তিনটির গ.সা.গু. কত?,৩,১৫,২৫,৩৫,খ. ১৫,
৩২,৩২. সংখ্যা তিনটির গ.সা.গু. কত?,১,২,৩,৪,ক. ১,
৩৩,৩৩. কত ঘণ্টা পর ঘণ্টাগুলো আবার একত্রে বাজবে?,৩,৩১২,৪,৪১২,খ. ৩১২,
৩৪,৩৪. ইউক্লিডীয় প্রক্রিয়ায় ল.সা.গু. নির্ণয়ের ক্ষেত্রে কমপক্ষে কয়টি সংখ্যার সাধারণ গুণনীয়ক দ্বারা ভাগ করতে হয়?,২টি,৩টি,সব সংখ্যার,১টি,ক. ২টি,
৩৫,৩৫. ল.সা.গু. এর পূর্ণ অর্থ কোনটি?,লঘিষ্ঠ সাধারণ গুণিতক,লঘিষ্ঠ সাধারণ গুণনীয়ক,গরিষ্ঠ সাধারণ গুণিতক,গরিষ্ঠ সাধারণ গুণনীয়ক,ক. লঘিষ্ঠ সাধারণ গুণিতক,
৩৬,৩৬. নিচের কোনগুলো ৪ এর গুণিতক?,"২, ৪","৪, ৬","৮, ১৪","৮, ১৬","ঘ. ৮, ১৬",
৩৭,"৩৭. ৩০, ৩৬ ও ৪০ এর ল.সা.গু. কোনটি?",৪০,৮০,১২০,৩৬০,ঘ. ৩৬০,
৩৮,"৩৮. ৮, ১২ ও ১৮ এর ল.সা.গু কত?",১৮,৩৬,৭২,৯৬,গ. ৭২,
৩৯,৩৯. ৮ এর লঘিষ্ঠ গুণিতক কোনটি?,২৪,৩২,৩০,১৬,ঘ. ১৬,
৪০,৪০. ১৬ ও ২৩ এর ল.সা.গু. কত?,১,১৮,১৯,৩৬৮,ঘ. ৩৬৮,
৪১,৪১. নিচের কোন সংখ্যাগুলোর ল.সা.গু. ৬০?,"১৫, ১৬","১২, ১৫","১২, ১৮","১৮, ২৪","খ. ১২, ১৫",
৪২,"৪২. ১২, ২৪ ও ৩২ এর ল.সা.গু. কত?",৬০,৭২,১২০,৯৬,ঘ. ৯৬,
৪৩,৪৩. ইউক্লিডীয় পদ্ধতিতে ৩০ ও ৩৫ এর ল.সা.গু কত?,১৪০,২১০,৩৩০,৮৩১৫,খ. ২১০,
৪৪,৪৪. কোন ক্ষুদ্রতম সংখ্যার সাথে ১২ যোগ করলে যোগফল ৩২ ও ৩৬ দ্বারা নিঃশেষে বিভাজ্য হবে?,১৬০,২৪০,২৭৬,৪৮০,গ. ২৭৬,
৪৫,"৪৫. ৬৩৯ এর-সাধারণ গুণিতকগুলো ৯, ১৮, ২৭ ও ৩৬সাধারণ গুণিতকগুলোর মধ্যে সবচেয়ে ছোট গুণিতক ১৮ল.সা.গু.র দ্বিগুণ = ৩৬নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ. ii ও iii,
৪৬,"৪৬. ৪৮, ৫৬ ও ৭২ সংখ্যাগুলোতে-৪৮ এর মৌলিক গুণনীয়কগুলো হলো ২×২×২×২×৩৩য় সংখ্যাটির মৌলিক গুণনীয়কে ২য় সংখ্যাটি অপেক্ষা একটি ২ অধিক আছেল.সা.গু ১০০৮নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ. i ও iii,
৪৭,"৪৭. ৩৫, ১৫, ২০ তিনটি পূর্ণসংখ্যা হলে-ল.সা.গু. ৪০",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ. ii ও iii,
৪৮,৪৮. ইউক্লিডীয় প্রক্রিয়ায় ল.সা.গু. নির্ণয়ের ক্ষেত্রে-ভাগ করতে করতে সবার নিচের সারির সংখ্যাগুলো সহমৌলিক হবেসহমৌলিকগুলোর ধারাবাহিক গুণফলই নির্ণেয় ল.সা.গু.সহমৌলিকগুলো ও ভাজকগুলোর ধারাবাহিক গুণফলই নির্ণেয় ল.সা.গু.নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ. i ও iii,
৩০,৩০ ও ৪৫ দুটি সংখ্যা।৪৯. ৩০ এর মৌলিক গুণনীয়কের সংখ্যা কতটি?,৮,৭,৬,৩,ঘ. ৩,
৫০,৫০. সংখ্যা দুটির ল.সা.গু. ও গ.সা.গু. এর পার্থক্য কত?,১৫,৭৫,৯০,১০৫,খ. ৭৫,
৫১,৫১. সংখ্যা দুইটির গরিষ্ঠ সাধারণ গুণনীয়ক কত?,৮,১৬,২৪,৩২,খ. ১৬,
৫২,৫২. বৃহত্তম সংখ্যাটির গুণিতক কোনটি?,৪৮,৩২,১৬,৪,ক. ৪৮,
১৩,"১৩, ৩৯, ৫২৫৩. নিচের কোনটি ১ম সংখ্যাটির গুণিতক?",১,১৯,১৩,৩৮,গ. ১৩,
৫৪,৫৪. সংখ্যাগুলোর ল.সা.গু. কত?,১০৪,১৬৯,১৩,১৫৬,ঘ. ১৫৬,
৫৫,৫৫. দুইটি সংখ্যার গ.সা.গু ও ল.সা.গু. এর গুণফল ১০৮। একটি সংখ্যা ১২ হলে অপর সংখ্যাটি কত?,৯,১২,১৬,১৮,ক. ৯,
৫৬,"৫৬. দুইটি সংখ্যার গুণফল ৭২, এদের গ.সা.গু ১ হলে ল.সা.গু. কত?",১,৮,৯,৭২,ঘ. ৭২,
৫৭,৫৭. দুইটি সংখ্যার ল. সা. গু. ২৪ এবং গ. সা. গু. ৪। সংখ্যা দুইটির গুণফল কত?,৪৮,৭২,৯৬,১২০,গ. ৯৬,
৫৮,৫৮. দুইটি সংখ্যা p ও q এবং সংখ্যাদ্বয়ের ল.সা.গু. ও গ.সা.গু. যথাক্রমে c ও d হলে নিচের কোনটি সত্য?,cp = dq,c × d = p × q,C + p = d + q,pd = pq,খ. c × d = p × q,
৫৯,৫৯. দুইটি সংখ্যার গুণফল ৫২ এবং গ.সা.গু ৪ হলে ল.সা.গু কত?,২৬,১৩,৭,৪,খ. ১৩,
৬০,৬০. দুইটি সংখ্যার গ.সা.গু. ১২ এবং ল.সা.গু. ৮০ হলে সংখ্যা দুটির গুণফল কত?,৯৬০,৮৬০,৭৬০,৮৭০,ক. ৯৬০,
৬১,"৬১. দুটি সংখ্যার গুণফল ৫৬, গ.সা.গু. ১ হলে সংখ্যা দুটির ল.সা.গু. কত?",১,৭,৮,৫৬,ঘ. ৫৬,
৬২,"৬২. দুইটি সংখ্যার গুণফল ৪২। একটি সংখ্যা ৬ হলে, সংখ্যা দুইটির গ.সা.গু. কত?",১,৩,৬,৮,ক. ১,
৬৩,৬৩. ক এবং ৬৪ এর গ.সা.গু ও ল.সা.গু. যথাক্রমে ৮ ও ৩২০ হলে ক এর মান কত?,২০,৩০,৪০,৬০,গ. ৪০,
৬৪,৬৪. দুইটি সংখ্যা ১২ ও ১৪ হলে সংখ্যাদ্বয়ের-ল.সা.গু. = ৮৪,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ. i ও iii,
৬৫,"৬৫. নিচের তথ্যগুলো লক্ষ কর:দুইটি সংখ্যার গুণফল = সংখ্যা দুইটির ল.সা.গু. × সংখ্যা দুইটির গ.সা.গুলঘু অনুপাত একটি সরল অনুপাতমিশ্র অনুপাত, সরল অনুপাত নাও হতে পারেনিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক. i ও ii,
৬৬,৬৬. নিচের তথ্যগুলো লক্ষ কর:,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ. ii ও iii,
৬৭,৬৭. উদ্দীপকের সংখ্যা তিনটি এর ল.সা.গু. কত?,৬,৮,৪৮,৪৮০,ঘ. ৪৮০,
৬৮,৬৮. মেঝেটি বাধাই করলে টাইলসের কতগুলো সারি ও কলাম হবে?,৬০ ও ৮০,৪৮ ও ৬০,৪২ ও ৪৮,৩৬ ও ৪২,ক. ৬০ ও ৮০,
৬৯,৬৯. মেঝেটি বাধাই করতে কতগুলো টাইলস লাগবে?,৪৮০০,৫২০০,৫৪০০,৬০০০,ক. ৪৮০০,
৭০,৭০. শেষ তিনটি সংখ্যার ল.সা.গু. কত?,১৬,৩২,৬৪,৯৬,ঘ. ৯৬,
৭১,৭১. ক্ষুদ্রতম সংখ্যাটি কত?,৯১,৯৬,১০১,১৯২,ক. ৯১,
৭২,৭২. নিচের তথ্যগুলো লক্ষ কর:,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক. i ও ii,
৭৩,"৭৩. তিনটি ঘণ্টা প্রথমে একত্রে বেজে প্রতি ৬, ৯ ও ১২ সেকেন্ড অন্তর বাজতে লাগল। ন্যূনতম কত সেকেন্ড পর ঘণ্টাগুলো পুনরায় আবার একত্রে বাজবে?",১৮,৩৬,৪৮,৭২,খ. ৩৬,
৭৪,"৭৪. দুইটি সংখ্যার গ.সা.গু ১ এবং ল.সা.গু ৩০। একটি সংখ্যা ৫ হলে, অপর সংখ্যা কত?",৫,৬,১৫,২০,খ. ৬,
৭৫,৭৫. কোন বৃহত্তম সংখ্যা দ্বারা ৪৬ ও ৯১ কে ভাগ করলে প্রতি ক্ষেত্রে ১ অবশিষ্ট থাকে?,৫,৯,১৫,৪৫,ঘ. ৪৫,
৭৬,৭৬. নিচের কোনটি ১ম সংখ্যাটির গুণিতক?,১,১৯,২৯,৩৮,গ. ২৯,
৭৭,৭৭. সংখ্যাগুলোর গ.সা.গু কত?,২৯,২৯,১৩,১,ঘ. ১,
৭৮,"৭৮. ১৪, ২১, ৫৬ এর ল.সা.গু কত?",১৬৮,১৫৮,১৪৮,১২৮,ক. ১৬৮,
৭৯,৭৯. দুইটি সংখ্যার গুণফল ২০৪ এবং ল.সা.গু ২০৪। ছোটো সংখ্যাটি কত?,১৭,১২,৮,৬,খ. ১২,
৮০,"৮০. ২৮ ও ৩৮ এর-মৌলিক গুণনীয়কগুলো যথাক্রমে ২, ২,৭এবং ২, ১৯সাধারণ মৌলিক গুণনীয়কগুলো হলো ২",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক. i ও ii,
৮১,৮১. নিচের কোন দুইটি সংখ্যার গ.সা.গু ১১?,"১০৫, ১৬৫","৮৮, ১৪৩","৩২৩, ৪৩৭","৭৭, ১৩৫","খ. ৮৮, ১৪৩",
২৫,২৫ ও ৪৫ দুইটি স্বাভাবিক সংখ্যা।৮২. দ্বিতীয় সংখ্যাটির গুণনীয়ক নিচের কোনটি?,২,৬,৭,৯,ঘ. ৯,
৮৩,৮৩. কোন সংখ্যাটি প্রথম সংখ্যার গুণিতক?,৪৫,৬৫,৭৫,৯০,গ. ৭৫,
৮৪,৮৪. ১৮ ও ৭ এর ল.সা.গু কত?,১,৭,১৮,১২৬,ঘ. ১২৬,
৮৫,৮৫. দুইটি সংখ্যা ক ও খ হলে-,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ. i ও iii,
৮৬,"৮৬. ৭, ৩১ দুটি মৌলিক সংখ্যা। সংখ্যা দুটির গ.সা.গু কত?",১,৭,৩১,২১৭,ক. ১,
১,১. সাধারণ ভগ্নাংশ কত প্রকার?,দুই,তিন,চার,পাঁচ,খ. তিন,
২,২. নিচের কোনটি প্রকৃত ভগ্নাংশ?,৭১০,১৭৮,১০৭,৮৭,ক. ৭১০,
৩,৩. ক স্বাভাবিক সংখ্যা হলে নিচের কোনটি অপ্রকৃত ভগ্নাংশ?,ক+১ক+৩,ক-২ক-৩,কক+১,ক-৩ক-২,খ. ক-২ক-৩,
৪,৪. নিচের কোনটি প্রকৃত ভগ্নাংশ?,২৫,১৩৫,১০৭,৮৭,ক. ২৫,
৫,৫. নিচের কোনটি মিশ্র ভগ্নাংশ?,২৫৩,৫৩,২৩৫,৫৩২,গ. ২৩৫,
৬,৬. ভগ্নাংশ পূর্ণসংখ্যা = কী?,(ভগ্নাংশের লব পূর্ণসংখ্যা)/ভগ্নাংশের হর,(ভগ্নাংশের লব + পূর্ণসংখ্যা)/ভগ্নাংশের হর,(ভগ্নাংশের লব পূর্ণসংখ্যা)/ভগ্নাংশের হর,(ভগ্নাংশের লব পূর্ণসংখ্যা)/ভগ্নাংশের হর,ক. (ভগ্নাংশের লব পূর্ণসংখ্যা)/ভগ্নাংশের হর,
