Serial,Question,Option_ক,Option_খ,Option_গ,Option_ঘ,Answer_Label,Answer_Text,Explanation
১,"১. সংখ্যায়  ব্যবহৃত  কোনো  x^2x2+xy+y^2y2  অঙ্ক  তার  অবস্থানের  জন্য  যে  সংখ্যা  প্রকাশ  করে  তাকে  কী  বলে ? [ ঢা.বো . ২০২১, কু.বো . ২০২৩ ] [ জ্ঞানমূলক ]",(x2+xy+y2x2+xy)/(y2x2+xy+y2x2+x)x^2x2+xy+y^2y2x^2x2+xyy^2y2x^2x2+xy+y^2y2x^2x2+x,m^2m2+my+y^2y2m^2m2+my+y^2y2m^2m2+my+y^2y2m^2m2,p^2p2+pq+q^2q2m^2m2+my+y^2y2m^2m2+my+y^2y2m^2m2,(z)/(e)ze+2z+5y-(p)/(e)pem^2m2+my+y^2y2m^2m2+my+y^2y2,ক,(x2+xy+y2x2+xy)/(y2x2+xy+y2x2+x)x^2x2+xy+y^2y2x^2x2+xyy^2y2x^2x2+xy+y^2y2x^2x2+x,বাংলালেখাequationnormal textequationনরমালটেক্সট
২,২ ।  সাত  অঙ্কবিশিষ্ট  কোন  সংখ্যার  ডান  দিক  থেকে  ২য়  অঙ্কের  স্থানীয়  মান  বাম  দিক  থেকে  ২য়  অঙ্কের  স্থানীয়  মানের  কতগুণ  যদি  অঙ্কদ্বয়  একই  হয় ? [ পাঠ ১.১: অঙ্কপাতন ],১০০০০০এবংসাধারণলেখা১০০০০০,১০০০০এবং সাধারণ লেখা১০০০০,(১)/(১০০০)১১০০০এবং সাধারণ লেখা১০০০০০,(১)/(১০০০০)১১০০০০এবং সাধারণ লেখা১০০০০০,ঘ,(১)/(১০০০০)১১০০০০এবং সাধারণ লেখা১০০০০০,বাংলালেখাequationnormal textequationনরমালটেক্সট
৩,৩. ৮৩০৫৬০৪০  সংখ্যাটিতে  সার্থক  অঙ্ক  কয়টি ? [ পাঠ ১.১: অঙ্কপাতন ],৪,৫,৬,৭,খ,৫,বাংলালেখাequationnormal textequationনরমালটেক্সট
৪,৪. ৩৪৫  সংখ্যাটিতে  ৫  এর  স্থানীয়মান  ও  স্বকীয়  মানের  পার্থক্য  কত ?,x^2x2+xy+y^2y2,m^2m2+my+y^2y2,p^2p2+pq+q^2q2,(z)/(e)ze+2z+5y-(p)/(e)pe,গ,p^2p2+pq+q^2q2,বাংলালেখাequationnormal textequationনরমালটেক্সট
৫,৫. কোনো  অঙ্কের  স্থান  পরিবর্তনের  ফলে  স্বকীয়  মান  কীরূপ  হয় ? [ পাঠ ১.১: অঙ্কপাতন ],পরিবর্তনহয়,বৃদ্ধিপায়,একইথাকে,হ্রাসপায়,গ,একইথাকে,বাংলালেখাequationnormal textequationনরমালটেক্সট
৬,৬. x^2x2+xy  কতটি  প্রতীক  x^2x2+xy  ব্যবহার  করা  হয় ?,২,৫,১০,১০০,গ,১০,
১৫,১৫ ।  ৬৪৪০৫৬৩১  সংখ্যাটির - অযুত  স্থানীয়  অঙ্কের  (equation)/(eq)equationeq  স্থানীয়  মান  শূন্য বাম  দিক  হতে  তৃতীয়  অঙ্কের  (equation)/(eq)equationeq স্থানীয়  মান  ডান  দিক  হতে  ৪র্থ  অঙ্কের  স্থানীয়  (equation)/(eq)equationeq  মানের  ৮০  গুণ সংখ্যাটির  অঙ্কগুলোতে  ৬টি  স্বাভাবিক  (equation)/(eq)equationeq  সংখ্যা  বিদ্যমান নিচের  কোনটি  সঠিক ?,iও ii,iওiii,iiওiii,"i, iiওiii",ক,iও ii,
১৬,১৬. পাটিগণিতে  দশটি  প্রতীকের  মধ্যে - স্বার্থক  অঙ্ক  নয়টি স্বাভাবিক  সংখ্যা  দশটি প্রতীকগুলোকে  অঙ্ক  বলা  হয় নিচের  কোনটি  সঠিক ?,iও ii,iও iii,iiও iii,"i, ii ওiii",খ,iও iii,
৭,৭. পাটিগণিতে  কয়টি  প্রতীক  দ্বারা  সব  সংখ্যাই  প্রকাশ  করা  যায় ?,৫,১০,৫০,১০০,খ,১০,
৮,৮. ক্ষুদ্রতম  দুই  অঙ্কের  ৩  দ্বারা  বিভাজ্য  জোড়  সংখ্যা  কোনটি ?,২৪,১৮,১৫,১২,ঘ,১২,
৯,"৯. ১ , ২ , ৩ , ৪ , ৫ , ৬ , ৭ , ৮ , ৯ , ০  প্রতীকগুলোর  মধ্যে  স্বাভাবিক  সংখ্যা  কয়টি ?",১,৪,৯,১০,গ,৯,
১০,১০. কত  অপেক্ষা  বড়  সব  সংখ্যাই  দুই  বা  ততোধিক  অঙ্ক  পাশাপাশি  বসিয়ে  লেখা  হয় ?,০,২,৫,৯,ঘ,৯,
১১,১১. শূন্য  থেকে  বড়  পূর্ণসংখ্যাগুলোকে  কি  বলে ?,অমূলদসংখ্যা,স্বাভাবিকসংখ্যা,জোড়সংখ্যা,বিজোড়সংখ্যা,খ,স্বাভাবিকসংখ্যা,
১২,১২. ছয়  অঙ্কের  ক্ষুদ্রতম  সংখ্যা  চার  অভেকর  ক্ষুদ্রতম  সংখ্যার  কতগুণ ?,১০০,১০০০,৬০০,৪০০,ক,১০০,
১৩,১৩. দশমিক  বা  দশ  গুণোত্তর  রীতিতে  কয়েকটি  অঙ্ক  পাশাপাশি  বসিয়ে  সংখ্যা  লিখলে  এর  সর্বাপেক্ষা  ডানদিকের  অঙ্কটি  কোন  ধরনের  মান  প্রকাশ  করে ?,ঋণাত্মকমান,অস্বাভাবিকমান,স্বকীয়মান,শতগুণ,গ,স্বকীয়মান,
১৪,১৪. কোন  সংখ্যার  ব্যবহৃত  অঙ্কগুলির  মান  কিসের  উপর  নির্ভর  করে ?,অঙ্কপাতন,বিভাজ্য,বিভাজ্যতা,অবস্থান,ঘ,অবস্থান,
১৫,১৫. ৬৪৪০৫৬৩১  সংখ্যাটির - অযুত  স্থানীয়  অঙ্কের  স্থানীয়  মান  শূন্য বাম  দিক  হতে  তৃতীয়  অঙ্কের  স্থানীয়  মান  ডান  দিক  হতে  ৪র্থ  অঙ্কের  স্থানীয়  মানের  ৮০  গুণ সংখ্যাটির  অঙ্কগুলোতে  ৬টি  স্বাভাবিক  সংখ্যা  বিদ্যমান নিচের  কোনটি  সঠিক ?,iও ii,iওiii,iiওiii,"i, iiওiii",ক,iও ii,
১৬,১৬. পাটিগণিতে  দশটি  প্রতীকের  মধ্যে - স্বার্থক  অঙ্ক  নয়টি স্বাভাবিক  সংখ্যা  দশটি প্রতীকগুলোকে  অঙ্ক  বলা  হয় নিচের  কোনটি  সঠিক ?,iও ii,iও iii,iiও iii,"i, ii ওiii",খ,iও iii,
০,"০ , ৫ , ১ , ৪ , ৬ , ৩  ও  ৯  হলো  সাতটি  x^2x2+2xy+y^2y2  সংখ্যা  প্রতীক । ১৭. প্রথম  ৫টি  প্রতীক  হতে  সার্থক  অঙ্কগুলো  দ্বারা  গঠিত  ক্ষুদ্রতম  সংখ্যার  শতক  স্থানের  অঙ্কের  স্থানীয়  মান  কত ?",৫,৫০,৪০০,৫৪১,গ,৪০০,
১৮,১৮. শেষ  চারটি  অভক  নিয়ে  গঠিত  বৃহত্তম  সংখ্যার  হাজার  স্থানের  অঙ্কটির  স্বকীয়  মান  কত ?,৯০০০,৬০০০,৯,৬,গ,৯,
১৯,১৯. পাঁচ  অঙ্ক  বিশিষ্ট  একটি  সংখ্যার  অযুতের  ঘরে  ৮  ও  হাজারের  ঘরে  ৫  এবং  অবশিষ্ট  অঙ্কগুলো  শূন্য ( ০ ) থাকলে  সংখ্যাটি  কিভাবে  পড়তে  হবে ?,পঁচাশিহাজার,(z)/(e)ze+2z+5y-(p)/(e)peঅখিল,পঁচাশিলক্ষ,আটহাজারপাঁচশ,,(z)/(e)ze+2z+5y-(p)/(e)pe,
২০,২০. “ ত্রিশ  হাজার  সত্তর ” সংখ্যাটি  কমা  ব্যবহার  করে  অঙ্কে  লিখলে  কোনটি  সঠিক  হবে ?,"৩,০৭০",(z)/(e)ze+2z+5y-(p)/(e)pe,"৩,০০,৭০","৩,০০,০৭০",খ,(z)/(e)ze+2z+5y-(p)/(e)pe,
২১,২১. এক  কোটি  অপেক্ষা  বড়  কিন্তু  দশ  কোটি  অপেক্ষা  ছোট  একটি  স্বাভাবিক  সংখ্যা  লিখতে  মোট  কয়টি  অঙ্ক  লাগবে ?,৯,(z)/(e)ze+2z+5y-(p)/(e)pe,৭,৬,খ,(z)/(e)ze+2z+5y-(p)/(e)pe,
২২,"২২. ৪ , ৮ , ১ , ২ , ৫ , ৭ , ৯  অঙ্কগুলো  মাত্র  একবার  ব্যবহার  করে  সাত  অঙ্কের  ক্ষুদ্রতম  সংখ্যা  নিচের  কোনটি ?",৯৮৭৫৪২১,৮৫৯১২৪৫,১২৪৫৭৮৯,১২৪৫৭৯৮,গ,১২৪৫৭৮৯,
২৩,২৩. ৭৩৪৫৫  সংখ্যাটির  অঙ্কগুলোকে  বিপরীতভাবে  সাজিয়ে  কথায়  প্রকাশ  করলে  নিচের  কোনটি  সঠিক ?,পঞ্চান্নহাজারতিনশসাঁইত্রিশ,পঞ্চান্নহাজারচারশসাঁইত্রিশ,পঞ্চান্নহাজারসাতশতেতাল্লিশ,পঞ্চান্নহাজারতিনশসাতচল্লিশ,খ,পঞ্চান্নহাজারচারশসাঁইত্রিশ,
২৪,২৪. নিচের  কোনটি  সাত  অঙ্কের  ক্ষুদ্রতম  সংখ্যা ?,১০০০০০০,১১১১১১১,১২৩৪৫৬৭,৯৯৯৯৯৯৯,ক,১০০০০০০,
২৫,২৫. নিচের  কোনটি  পাঁচ  অঙ্কের  বৃহত্তম  সংখ্যা ?,১১১১১,৯০০০০,৯৮৭৬৫,৯৯৯৯৯,ঘ,৯৯৯৯৯,
২৬,"২৬. ১ , ০ , ৫ , ৯ , ৬ , ৭  অঙ্কগুলো  মাত্র  একবার  ব্যবহার  করে  ছয়  অঙ্কের  বৃহত্তম  সংখ্যা  নিচের  কোনটি ?",১০৯৭৫৬,৯৭৬৫১০,৯০৭৬৫১,৯৭৬৫১,খ,৯৭৬৫১০,
২৭,২৭. মৌলিক  অঙ্কসমূহ  এবং  সহকারী  অঙ্ক  নিয়ে  গঠিত  পাঁচ  অঙ্কের  ক্ষুদ্রতম  সংখ্যাটির  কথায়  প্রকাশ  নিচের  কোনটি ? ( প্রত্যেক  অঙ্ক  একবার  ব্যবহার  করতে  হবে ),বিশহাজারতিনশসাতান্ন,তেইশহাজারপাঁচশসত্তর,বিশহাজারদুইশপঁয়ত্রিশ,পঁচিশহাজারদুইশতিয়াত্তর,ক,বিশহাজারতিনশসাতান্ন,
২৮,"২৮. ১০ , ৪৫ , ৬৭৮  সংখ্যাটির  কমা  ব্যবহারে  কোন  রীতি  অনুসরণ  করা  হয়েছে ?",দেশীয়,বিদেশী,গ্রিক,ল্যাটিন,ক,দেশীয়,
২৯,২৯. নিচের  কোনটি  পাঁচ  অঙ্কের  ক্ষুদ্রতম  সংখ্যার  আগের  সংখ্যা ?,৯৯৯৯৯,৯৯৯৯,৯৯৯,৯৯,খ,৯৯৯৯,
৩০,৩০. পরপর  যেকোনো  অঙ্কের  ক্ষুদ্রতম  সংখ্যাদ্বয়ের  পার্থক্য  ঐ  দুই  সংখ্যার  অন্তর্গত  ক্ষুদ্রতম  সংখ্যার  কতগুণ ?,৯০০০,৯০০,৯০,৯,ঘ,৯,
৩১,"৩১. দেশীয়  সংখ্যাপঠন  রীতিতে - অযুত  ও  হাজারের  ঘর  মিলিয়ে  যত  হাজার  হয় , তত  হাজার  পড়া  হয় নিযুত  ও  লক্ষের  ঘর  মিলিয়ে  যত  লক্ষ  হয় , তত  লক্ষ  হিসেবে  পড়া  হয় হাজারের  ঘরে  সর্বোচ্চ  দুইটি  অঙ্ক  লেখা  যায় নিচের  কোনটি  সঠিক ?",iও ii,iও iii,iiও iii,"i, ii ওiii",ঘ,"i, ii ওiii",
৩২,৩২. একটি  অঙ্ক  মাত্র  একবার  ব্যবহার  করে  সাত  অঙ্কের  বৃহত্তম  সংখ্যা  নিচের  কোনটি ?,"৯৮,৭৫,৪৩০","৮৯,৭৫,৪৩০","৩৪,৫৭,৮৯০","৩০,৪৫,৭৮৯",ক,"৯৮,৭৫,৪৩০",
৩৩,৩৩. একটি  অঙ্ক  মাত্র  একবার  ব্যবহার  করে  সাত  অঙ্কের  ক্ষুদ্রতম  সংখ্যা  নিচের  কোনটি ?,"৯৮,৭৫,৪৩০","৯০,৮৭,৫৪৩","৩৪,৫৭,৮৯০","৩০,৪৫,৭৮৯",ঘ,"৩০,৪৫,৭৮৯",
৩৪,৩৪. ১০০০০০০  সংখ্যাটি  আন্তর্জাতিক  রীতিতে  কত ?,দশলক্ষ,১মিলিয়ন,১নিযুত,০.১কোটি,খ,১মিলিয়ন,
৩৫,৩৫. আন্তর্জাতিক  রীতিতে  ডান  দিক  থেকে  কত  অঙ্ক  পর  প্রথম  কমা  বসাতে  হয় ?,একঅঙ্ক,দুইঅঙ্ক,তিনঅঙ্ক,চারঅঙ্ক,গ,তিনঅঙ্ক,
৩৬,৩৬. ছকে  লিখিত  সংখ্যাটি  আন্তর্জাতিক  পদ্ধতিতে  পড়লে  কী  হবে ?,একশএগারোহাজার,একমিলিয়নএগারোহাজার,এগারোশএগারোহাজার,এগারোমিলিয়নএগারোহাজার,ক,একশএগারোহাজার,
৩৭,৩৭. কমা  ব্যবহার  করে  ৯০০০০০  সংখ্যাটির  আন্তর্জাতিক  গণনার  সঠিক  রূপ  কোনটি ?,"৯,০০০০০","৯০,০০০০","৯০০,০০০","৯,০০,০০০",গ,"৯০০,০০০",
৩৮,"৩৮. আন্তর্জাতিক  গণনা  পদ্ধতি  অনুযায়ী  বিলিয়ন , মিলিয়ন  ও  হাজারের  ঘরে  সর্বোচ্চ  কত  অঙ্ক  বিশিষ্ট  সংখ্যা  লেখা  যায় ?",এক,দুই,তিন,চার,গ,তিন,
৩৯,৩৯. আন্তর্জাতিক  রীতিতে - ১  মিলিয়ন = ১০  লক্ষ,iও ii,iও iii,iiও iii,"i, ii ওiii",ঘ,"i, ii ওiii",
১,"১ , ০০ , ০০০ ; ২০৪ , ০০০ , ০০০ , ০০০ ৪০. দ্বিতীয়  সংখ্যাটি  কথায়  প্রকাশ  করলে  হবে ?",২০৪মিলিয়ন,বিশহাজারমিলিয়ন,২বিলিয়নচল্লিশমিলিয়ন,দুইশচারবিলিয়ন,ঘ,দুইশচারবিলিয়ন,
৪১,৪১. দেশীয়  পদ্ধতিতে  প্রথম  সংখ্যাটির  লিখিত  রূপ  কোনটি ?,দশলক্ষ,একলক্ষ,একশতহাজার,১কোটি,খ,একলক্ষ,
৪২,৪২. ১০০  কোটিতে  কত  বিলিয়ন ?,১০০বিলিয়ন,১০বিলিয়ন,৫বিলিয়ন,১বিলিয়ন,ঘ,১বিলিয়ন,
৪৩,৪৩. ৫  বিলিয়ন = কত  কোটি ?,৫কোটি,৫০কোটি,৫০০কোটি,৫০০০কোটি,গ,৫০০কোটি,
৪৪,৪৪. ৭  মিলিয়নে  কত  লক্ষ ?,১০,৭০,১০০,৫০০,খ,৭০,
৪৫,৪৫. ৬  বিলিয়ন = কত  মিলিয়ন ?,৬০,৬০০,৬০০০,৬০০০০,গ,৬০০০,
৪৬,"৪৬. ১৫৬৭০০২৫৬১৯৮২  সংখ্যাটি - দেশীয়  রীতিতে  এক  লক্ষ  ছাপ্পান্ন  হাজার  সাতশ  কোটি  পঁচিশ  লক্ষ  একষট্টি  হাজার  নয়শ  বিরাশি আন্তর্জাতিক  রীতিতে  এক  ট্রিলিয়ন  পাঁচশ  সাতষট্টি  বিলিয়ন  দুই  মিলিয়ন  পাঁচশ  একষট্টি  হাজার  নয়শ  বিরাশি আন্তর্জাতিক  রীতিতে  কমা  বসালে  রূপান্তরিত  রূপ ১, ৫৬৭ , ০০২ , ৫৬ , ১৯ , ৯৮২ নিচের  কোনটি  সঠিক ?",iও ii,iও iii,iiও iii,"i, ii ওiii",ক,iও ii,
৫০০০০০০,"৫০০০০০০ , ১০০  কোটি  ও  ১০  লক্ষ ৪৭. প্রথম  সংখ্যাটি  কত  মিলিয়নের  সমান ?",৫,৫০,৫০০,৫০০০,ক,৫,
৪৮,৪৮. দ্বিতীয়  সংখ্যাটি  কত  বিলিয়নের  সমান ?,১০০,২০,১০,১,ঘ,১,
৪৯,৪৯. কমা  ব্যবহার  করে  তৃতীয়  সংখ্যাটির  আন্তর্জাতিক  সঠিক  রূপ  কোনটি ?,"১০,০০০,০০","১,০০০,০০০","১০০০,০০০","১০,০০,০০,০",খ,"১,০০০,০০০",
৫০,৫০. সহকারী  অঙ্ক  কোনটি ?,০,১,২,৩,ক,০,
৫১,৫১. ৬২৩৬০৫  সংখ্যাটির  ৬  এর  স্থানীয়  মানদ্বয়ের  পার্থক্য  কত ?,৬৯৯৪০০,৫৯৯৪০০,৬৯৯৪০,৫৯৯৪০,খ,৫৯৯৪০০,
৫২,৫২. ১৩৬৭০৫২  সংখ্যাটি  দেশীয়  রীতিতে  কমা  বসিয়ে  লিখলে  কি  হবে ?,"১,৩৬৭,০৫২","১৩,৬৭০,৫২","১৩,৬৭,০৫২","১৩,৬৭,০৫,২",গ,"১৩,৬৭,০৫২",
৫৩,৫৩. তিন  বিলিয়ন  বারো  মিলিয়ন  তিনশ  সাঁইত্রিশ  হাজার  নয়শ  সাতাত্তরকে  অঙ্কে  প্রকাশ  করলে  কি  হবে ?,৩০১২৩৩৭৯৭৭,৩১২৩৩৭৯৭৭,৩০১২৩৭৯৭৭,৩১২৩৭৯৭৭,ক,৩০১২৩৩৭৯৭৭,
৫৪,৫৪. দেশীয়  ও  আন্তর্জাতিক  এককের  সম্পর্ক  অনুসারে - ৫ মিলিয়ন  ১০০  হাজার  ৫১  লক্ষ ২০০  কোটি  ১০  লক্ষ  ২  বিলিয়ন  ১  মিলিয়ন ১৩২  মিলিয়ন  ২০০  হাজার  ১  কোটি  ৩২  লক্ষ  ২০  হাজার  নিচের  কোনটি  সঠিক ?,iও ii,iও iii,iiও iii,"i, ii ওiii",ক,iও ii,
৫৫,৫৫. নিচের  কোন  সংখ্যাটি  ৬  অঙ্কের  বৃহত্তম  সংখ্যা  হতে  ১  বেশি ?,১০০০০,১০০০০০,১০০০০০০,১০০০০০০০,গ,১০০০০০০,
৫৬,৫৬. একটি  ছয়  অঙ্কবিশিষ্ট  সংখ্যার  অযুত  ও  লক্ষের  ঘরে  যথাক্রমে  ৫  ও  ৮  এবং  বাকি  অঙ্কগুলো  শূন্য  হলে  আন্তর্জাতিক  রীতিতে  সংখ্যাটি  কিভাবে  পড়তে  হবে ?,আটশপঞ্চাশহাজার,আটলক্ষপঞ্চাশহাজার,পঁচাশিলক্ষ,আটমিলিয়নপাঁচশহাজার,ক,আটশপঞ্চাশহাজার,
৫,"৫ , ০ , ২ , ৮ , ৯ , ৬  অঙ্কগুলো  একবার  ব্যবহার  করে  ছয়  অঙ্কের  কতগুলো  সংখ্যা  গঠন  করা  হলো ৫৭. গঠিত  সংখ্যাগুলোর  মধ্যে  ক্ষুদ্রতম  সংখ্যা  কোনটি ?",২০৫৬৮৯,২০৫৬৯৮,২০৫৮৬৯,২০৬৫৮৯,ক,২০৫৬৮৯,
৫৮,৫৮. গঠিত  সংখ্যাগুলোর  মধ্যে  ৫  দিয়ে  শুরু  বৃহত্তম  সংখ্যা  কোনটি ?,৫০৮৯৬২,৫৮৯৬২০,৫৯৮৫৬০,৫৯৮৬২০,ঘ,৫৯৮৬২০,
৫৯,"৫৯. ৮ , ১ , ৬ , ৫ , ০ , ৭  অঙ্কগুলো - দ্বারা  গঠিত  ছয়  অঙ্কের  ক্ষুদ্রতম  সংখ্যা  ১০৫৬৭৮ এর  মধ্যে  ছয়টি  সার্থক  অঙ্ক  বিদ্যমান এর  মধ্যে  পাঁচটি  স্বাভাবিক  সংখ্যা  বিদ্যমান নিচের  কোনটি  সঠিক ?",iও ii,iও iii,iiও iii,"i, ii ওiii",খ,iও iii,
৬০,৬০. ৫০০০  অপেক্ষা  বড়  কিন্তু  ৫০০০০  অপেক্ষা  ছোট  সংখ্যাগুলোর  মধ্যে - চার  অঙ্ক  বিশিষ্ট  বৃহত্তম  সংখ্যা  ৯৯৯৯  পাঁচ  অঙ্ক  বিশিষ্ট  বৃহত্তম  সংখ্যা  ৪৯৯৯৯ চার  অঙ্ক  বিশিষ্ট  ক্ষুদ্রতম  সংখ্যা  ৫০০০ নিচের  কোনটি  সঠিক ?,iও ii,iও iii,iiও iii,"i, ii ওiii",ক,iও ii,
৬১,৬১. কোম্পানির  আয়কে  দেশীয়  রীতিতে  প্রকাশ  করলে  কি  হবে ?,২১৩৩কোটি৬৩লক্ষ৫৭হাজার৯৮২,২১৩৩কোটি৩লক্ষ৫৭হাজার৯৮২,২১৩কোটি৩৬লক্ষ৫৭হাজার৯৮২,২১৩কোটি৩লক্ষ৫৭হাজার৯৮২,ক,২১৩৩কোটি৬৩লক্ষ৫৭হাজার৯৮২,
৬২,৬২. আন্তর্জাতিক  রীতিতে  কোম্পানির  আয়  কিভাবে  পড়তে  হবে ?,২বিলিয়ন৩৩৬কোটি৩৫৭হাজার৯৮২,২বিলিয়ন১৩৩৬মিলিয়ন৩৫৭হাজার৯৮২,২১বিলিয়ন৩৩৬মিলিয়ন৩৫৭হাজার৯৮২,২১বিলিয়ন৩৩৬৩মিলিয়ন৫৭হাজার৯৮২,গ,২১বিলিয়ন৩৩৬মিলিয়ন৩৫৭হাজার৯৮২,
